127.0.0.1 - - [08/Oct/2021:11:22:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Oct/2021:11:48:15 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3852
0:0:0:0:0:0:0:1 - - [08/Oct/2021:11:48:15 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:11:48:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2021:11:48:19 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3862
0:0:0:0:0:0:0:1 - - [08/Oct/2021:11:48:19 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:01 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3867
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:01 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:37 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:37 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:43 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:43 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:46 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:46 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:48 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3892
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:48 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:54 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3892
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:54 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:55 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3892
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:55 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:57 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3892
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:57 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:58 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3892
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:58 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:58 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3892
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:58 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:59 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3892
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:59 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:18:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:19:11 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:19:11 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:19:27 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:19:27 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:19:54 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:19:54 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:19:55 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:19:55 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:19:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:04 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:04 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:46 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:46 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:49 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:49 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:50 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:50 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:52 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:52 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:52 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:52 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:57 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:57 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:58 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:58 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:20:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:27 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:27 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:28 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:28 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:30 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:30 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:33 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2954
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:33 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:42 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2954
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:42 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:44 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2954
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:44 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:44 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2954
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:44 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:48 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:48 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:50 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:50 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:58 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:58 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:58 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:58 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:21:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:22:02 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2957
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:22:02 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:22:03 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:22:03 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:22:06 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:22:07 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:22:21 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:22:21 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:22:41 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2697
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:22:41 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:22:45 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2697
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:22:45 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:22:56 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2731
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:22:56 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:22:57 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2731
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:22:57 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:22:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:23:36 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2744
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:23:37 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:23:52 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:23:52 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:23:53 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:23:53 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:23:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:24:39 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:24:40 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:25:02 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:25:02 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:25:03 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:25:03 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:25:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:25:06 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:25:06 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:25:51 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:25:52 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:25:52 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:25:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:25:56 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:25:56 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:26:03 +0900] "GET /bsksproject/user/LogoutAction.jsp HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:26:31 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:26:31 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:26:47 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:26:47 +0900] "GET /bsksproject/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 4790
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 884
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124962
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/vendor/select2/select2.min.css HTTP/1.1" 200 15196
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/vendor/animsition/css/animsition.min.css HTTP/1.1" 200 27478
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/vendor/animate/animate.css HTTP/1.1" 200 23848
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/fonts/Linearicons-Free-v1.0.0/icon-font.min.css HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 200 8163
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/css/main.css HTTP/1.1" 200 8313
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/vendor/select2/select2.min.js HTTP/1.1" 200 66664
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/css/util.css HTTP/1.1" 200 86814
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51143
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/vendor/animsition/js/animsition.min.js HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/vendor/bootstrap/js/popper.js HTTP/1.1" 200 81670
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/vendor/countdowntime/countdowntime.js HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/vendor/daterangepicker/daterangepicker.js HTTP/1.1" 200 69776
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/vendor/daterangepicker/moment.min.js HTTP/1.1" 200 46645
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/js/main.js HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/fonts/ubuntu/Ubuntu-Bold.ttf HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:34:50 +0900] "GET /bsksproject/fonts/ubuntu/Ubuntu-Regular.ttf HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 4680
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/vendor/animate/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/vendor/select2/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 884
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/fonts/Linearicons-Free-v1.0.0/icon-font.min.css HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/vendor/animsition/css/animsition.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /css/custom.css%22 HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/vendor/jquery/jquery-3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/vendor/animsition/js/animsition.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/css/util.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/vendor/select2/select2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/vendor/daterangepicker/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/vendor/countdowntime/countdowntime.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/vendor/daterangepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/vendor/bootstrap/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/fonts/ubuntu/Ubuntu-Bold.ttf HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:17 +0900] "GET /bsksproject/fonts/ubuntu/Ubuntu-Regular.ttf HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:34 +0900] "GET /bsksproject/index.jsp HTTP/1.1" 200 4680
0:0:0:0:0:0:0:1 - - [08/Oct/2021:12:36:34 +0900] "GET /bsksproject/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124962
